addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,metro_station_winner,metro_minutes_winner
"Лодочная ул., 9К3",,2,8,17,66.0,22000000,333333.0,2023-11-19,0,CIAN ID 40045729,30,,-1
"Хорошевская 3-я ул., 17А",,1,5,21,36.0,14600000,405556.0,2023-11-19,0,"Агентство Самолет Плюс Москва ЦАО, Агент Алексей Бобошко, CIAN ID 103365032",75,,-1
"Челябинская ул., 6",,1,1,12,38.7,8600000,222222.0,2023-11-19,0,"Агентство ИП Тихонравова Ю. Е., Агент Юлия Тихонравова, CIAN ID 17287021",33,,-1
"Красногвардейский 1-й пр-д, 21с2",,1,19,85,20.0,19990000,999500.0,2023-11-19,0,"Агентство Capital Mars, CIAN ID 75689784",12,Деловой центр м.,3
"Кастанаевская ул., 65",,1,16,26,43.0,16600000,386047.0,2023-11-19,0,"Собственник, CIAN ID 101310485",46,Кунцевская м.,7
"Гурьянова ул., 19К1",,1,2,25,50.2,15000000,298805.0,2023-11-19,0,"Агентство ГОРОДА, Агент Борис Хестанов, CIAN ID 108230449",11,Печатники м.,11
"Твардовского ул., 2К4",,2,7,25,37.9,15500000,408971.0,2023-11-19,0,"Агентство ГОРОДА, Агент Александр Кузнецов, CIAN ID 107330427",22,,-1
"Хорошевское ш., 25Ак1",,2,21,21,41.6,24500000,588942.0,2023-11-19,0,"Агентство C21 Premium Selection, Агент Даниил Лепилкин, CIAN ID 104656657",6,Полежаевская м.,5
"Цюрупы ул., 17",,2,5,9,45.1,14990000,332373.0,2023-11-19,0,"Агентство МИЭЛЬ, Агент Олег Мастерских, CIAN ID 100303703",6,Новые Черемушки м.,13
"Кронштадтский бул., 6К4",,1,15,26,40.6,19350000,476601.0,2023-11-19,0,"Агентство На Петровке, Агент Виталий Гиба, CIAN ID 94173569",19,Водный стадион м.,6
"Ясеневая ул., 41К2",,2,1,9,47.0,12500000,265957.0,2023-11-19,0,"Агент Марина Шевченко, CIAN ID 101053408",7,Зябликово м.,6
"Сосенское поселение, Эдварда Грига ул., 14",,2,8,9,58.6,15500000,264505.0,2023-11-19,0,"Агентство Этажи Москва, Агент Прокопов Александр Владимирович, CIAN ID 53269938",24,,-1
"Институтская 2-я ул., 1/12",,2,4,5,54.3,14998000,276206.0,2023-11-19,0,"Частный маклер Зинаида Малютина, CIAN ID 57642",26,Окская м.,7
"Кусковская ул., 16",,1,1,7,16.0,4250000,265625.0,2023-11-19,0,CIAN ID 214673,18,Кусково м. (МЦД-4),15
"Погонный пр-д, 23К2",,1,2,5,23.7,9300000,392405.0,2023-11-19,0,CIAN ID 75037414,33,,-1
"Клязьминская ул., 28А",,1,13,21,42.5,12300000,289412.0,2023-11-19,0,CIAN ID 160861,30,Лианозово м.,14
"Федора Полетаева ул., 32К1",,1,1,9,29.6,8000000,270270.0,2023-11-19,0,"Частный маклер Алла Звоник, CIAN ID 12546948",18,Рязанский проспект м.,15
"Коровинское ш., 36К1",,1,7,16,37.6,12000000,319149.0,2023-11-19,0,"Собственник, CIAN ID 83921936",55,,-1
"Московский г., 1-й мкр, 12",,2,1,5,45.1,12500000,277162.0,2023-11-19,0,"Собственник, CIAN ID 52748722",34,,-1
"Красногвардейский 1-й пр-д, 22с1",,2,38,66,65.0,45000000,692308.0,2023-11-19,0,"Агентство Mercury, CIAN ID 44271142",6,Тестовская метро (МЦД-1),2
"Дмитровский пр-д, 1",,1,35,59,39.2,20835000,531505.0,2023-11-19,0,"Агентство Этажи Москва, Агент Олейникова Татьяна Викторовна, CIAN ID 95166108",24,Дмитровская м.,1
"Ходынская ул., 2",,1,21,44,42.1,26700000,634204.0,2023-11-19,0,"Агентство Качанова и партнеры, Агент Елена Колегова, CIAN ID 46119860",39,Улица 1905 года м.,13
"Очаковская Большая ул., 5",,2,17,25,65.0,22000000,338462.0,2023-11-19,0,"Собственник, CIAN ID 480506",26,Аминьевская м.,13
"Краснобогатырская ул., 90С22",,1,5,11,49.4,23000000,465587.0,2023-11-19,0,"Агентство Whitewill, Агент Алексей Федотов, CIAN ID 105260637",81,Преображенская площадь м.,8
"Ватутинки пос., Новые Ватутинки Центральный мкр, Ватутинская 1-я ул., 5",,2,8,15,59.2,12106400,204500.0,2023-11-19,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",10,,-1
"Ватутинки пос., Новые Ватутинки Центральный мкр, Ватутинская 1-я ул., 5",,2,12,12,64.1,12339250,192500.0,2023-11-19,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",17,,-1
"Перовская ул., 10К2",,2,9,12,46.3,12300000,265659.0,2023-11-19,0,"Агентство CENTURY 21 Перспектива, Агент Анна Долматова, CIAN ID 100899396",25,,-1
"Коммунарка пос., Александры Монаховой ул., 84к4",,1,1,18,20.0,7700000,385000.0,2023-11-19,0,"Собственник, CIAN ID 4059718",8,,-1
"Грайвороновский 2-й пр-д, 44к3",,2,12,19,62.6,22000000,351438.0,2023-11-19,0,"Агентство Навигатор недвижимости, CIAN ID 12204526",80,Стахановская м.,1
"Кронштадтский бул., 14С13",,1,12,32,41.7,14800000,354916.0,2023-11-19,0,CIAN ID 58960626,24,Водный стадион м.,7
"Коптевский Большой пр-д, 3С7",,1,7,9,17.9,7160000,400000.0,2023-11-19,0,"Агентство ХОРЕКА ИНВЕСТ, CIAN ID 12832859",5,Красный Балтиец метро (МЦД-2),9
"Новоалексеевская ул., 16к2",,2,9,20,45.4,23500000,517621.0,2023-11-19,0,"Агентство C21 Premium Selection, Агент Даниил Лепилкин, CIAN ID 104656657",89,Алексеевская м.,7
"Московский поселение, Бристоль КП, Шекспира ул., 510к1",,1,3,4,33.0,7200000,218182.0,2023-11-19,0,"Собственник, CIAN ID 13482750",55,,-1
"Бакинская ул., 20",,2,2,16,54.7,12500000,228519.0,2023-11-19,0,"Частный маклер Оксана Трифонова, CIAN ID 80896",92,Царицыно м.,12
"Бирюлевская ул., 14К1",,2,6,12,50.4,13200000,261905.0,2023-11-19,0,"Собственник, CIAN ID 85930832",35,,-1
"Коммунарка пос., Скандинавский бул., 1к3",,2,3,16,47.4,15090000,318354.0,2023-11-19,0,"Агентство Прогресс Таун, CIAN ID 107318282",11,,-1
"Верхние Поля ул., 27С2",,1,4,9,34.7,8645000,249135.0,2023-11-19,0,"Агент Альфия Ахмерова, CIAN ID 88669507",26,Братиславская м.,12
"Фестивальная ул., 29",,1,25,35,50.0,18600000,372000.0,2023-11-19,0,"Агент Ксения Плотникова, CIAN ID 92335147",8,Речной вокзал м.,8
"Тульская Большая ул., 2",,2,5,16,50.9,15200000,298625.0,2023-11-19,0,"Собственник, CIAN ID 106313011",43,Тульская м.,10
"Генерала Рычагова ул., 17",,2,2,5,44.0,15000000,340909.0,2023-11-19,0,"Частный маклер Виталий Русаков, CIAN ID 215672",17,Коптево м. (МЦК),15
"Профсоюзная ул., 128А",,2,10,18,46.0,15600000,339130.0,2023-11-19,0,"Агентство Этажи Москва, Агент Женикова Надежда Владимировна, CIAN ID 106748119",24,Теплый стан м.,15
"Радиальная 6-я ул., 7/6к3",,2,3,18,60.0,12600000,210000.0,2023-11-19,0,CIAN ID 82709142,6,,-1
"Горчаково д., Школьная ул., 13К2",,1,3,4,39.9,8000000,200501.0,2023-11-19,0,"Собственник, CIAN ID 104299859",56,,-1
"Годовикова ул., 11к2",,1,30,35,44.7,19500000,436242.0,2023-11-19,0,"Агентство Владис, Агент Александр Бабий, CIAN ID 101330730",89,Алексеевская м.,12
"Авиационная ул., 63",,1,16,26,40.8,14500000,355392.0,2023-11-19,0,"Агентство Этажи Москва, Агент Миронова Мария Михайловна, CIAN ID 101809313",6,Щукинская м.,6
"Лихачёва просп., 18к5",,1,7,20,35.0,19300000,551429.0,2023-11-19,0,"Агентство SKYHOUND, Агент Владислава Денисова, CIAN ID 108368482",30,Технопарк м.,14
"Генерала Карбышева бул., 10К3",,1,3,5,33.0,14000000,424242.0,2023-11-19,0,"Агентство СТОЛИЧНЫЙ ЦЕНТР НЕДВИЖИМОСТИ, CIAN ID 144119",8,Народное Ополчение м.,15
"Коммунарка пос., Бачуринская ул., 11Ак1",,2,18,25,45.6,15650000,343202.0,2023-11-19,0,"Собственник, CIAN ID 93991968",23,,-1
"Рубцовская наб., 2К5",,1,9,10,38.3,16300000,425587.0,2023-11-19,0,"Агентство ИНФИНИТИ, Агент Светлана Алексеева, CIAN ID 109722905",11,Бауманская м.,14
"Корабельная ул., 6",,1,10,17,28.0,14500000,517857.0,2023-11-19,0,"Агентство Capital Mars, CIAN ID 75689806",75,Нагатинский Затон м.,11
"Шмитовский пр-д, 39к2",,2,10,23,82.0,29500000,359756.0,2023-11-19,0,"Агентство Verges of estate, Агент Василий Пугачёв, CIAN ID 107633852",51,Шелепиха м.,6
"Маршала Захарова ул., 18К1",,1,2,14,39.2,9600000,244898.0,2023-11-19,0,"Агентство ПРОСПЕКТ, CIAN ID 467602",95,Орехово м.,10
"Волоколамское ш., 95С5",,1,2,20,49.0,16400000,334694.0,2023-11-19,0,"Агентство ОГРК, Агент Иван Широченко, CIAN ID 93358516",6,,-1
"Новочеремушкинская ул., 17",,1,2,22,46.0,37739988,820435.0,2023-11-19,0,"Агентство Unique, CIAN ID 82489171",87,Академическая м.,10
"Десеновское поселение, Яворки ул., 1к2",,1,2,15,37.0,8850000,239189.0,2023-11-19,0,"Агентство CENTURY 21, Агент Артем Касап, CIAN ID 108260459",18,,-1
"ЖК ""Level Южнопортовая""",,1,13,68,23.4,9772515,417629.0,2023-11-19,0,"Застройщик Level Group, CIAN ID 89540106",6,Кожуховская м.,9
"Медынская ул., 4/1",,1,11,12,32.8,7800000,237805.0,2023-11-19,0,"Собственник, CIAN ID 75796365",13,,-1
"Ленинградский просп., 37/4",,1,3,40,43.0,36500000,848837.0,2023-11-19,0,"Собственник, CIAN ID 17691797",63,ЦСКА м.,11
"Шипиловская ул., 10",,2,2,9,43.5,12000000,275862.0,2023-11-19,0,"Частный маклер Олеся Кузнецова, CIAN ID 255643",15,Орехово м.,8
"Гиляровского ул., 12",,1,1,14,38.0,13900000,365789.0,2023-11-19,0,"Агентство FLATS, CIAN ID 386255",10,Проспект Мира м.,2
"Внуковское поселение, Солнцево-Парк мкр, Летчика Ульянина ул., 6",,1,10,17,46.0,12100000,263043.0,2023-11-19,0,"Агентство МИЭЛЬ, МИЭЛЬ офис на Киевской, CIAN ID 17283164",47,,-1
"Десеновское поселение, Яворки ул., 1к5",,1,4,17,32.0,6800000,212500.0,2023-11-19,0,"Частный маклер Валерий Шевлюга, CIAN ID 34994",89,,-1
"Варшавское ш., 160К1",,1,9,22,41.6,15490000,372356.0,2023-11-19,0,"Частный маклер Александр Захаров, CIAN ID 104216",60,Аннино м.,3
"Коммунарка пос., Скандинавский бул., 23к2",,2,10,14,55.6,15600000,280576.0,2023-11-19,0,"Агентство Монолит Столица, Агент София Шенигина, CIAN ID 93638643",7,,-1
"Академика Капицы ул., 32К2",,1,10,17,38.3,12490000,326110.0,2023-11-19,0,"Частный маклер Елена Никитина, CIAN ID 249146",65,Коньково м.,6
"Филевский бул., 8к1",,1,4,12,38.7,13900000,359173.0,2023-11-19,0,"Частный маклер Виктория Крячкова, CIAN ID 26597",10,,-1
"Севанская ул., 3",,2,6,9,44.2,13000000,294118.0,2023-11-19,0,"Агентство Дeльта, CIAN ID 5880",13,Царицыно м.,1
"Грайвороновский 1-й пр-д, 3",,1,9,24,35.6,13000000,365169.0,2023-11-19,0,CIAN ID 106016541,12,,-1
"Сосенское поселение, Николо-Хованская ул., 24",,1,8,9,34.5,9900000,286957.0,2023-11-19,0,"Агентство EstateLiga, Агент Александр Калиновский, CIAN ID 97974380",19,,-1
"Веневская ул., 7",,1,17,17,38.0,12900000,339474.0,2023-11-19,0,"Агентство Homeapp, Агент Снежана Фокина, CIAN ID 68695024",22,Улица Скобелевская м.,6
"Рязанский просп., 2/1к5У",,1,10,29,46.0,16800000,365217.0,2023-11-19,0,"Агентство ЕГСН Продажа, Агент Матвиенко Ирина, CIAN ID 13238721",30,Нижегородская м.,10
"Земляной Вал ул., 18-22С2",,1,4,8,42.8,19500000,455607.0,2023-11-19,0,"Агентство Этажи Москва, Агент Букреева Ангелина Юрьевна, CIAN ID 95628730",12,Курская м.,3
"Губцево д., Светлый КП, Светлая ул., 62",,1,1,3,45.0,8199000,182200.0,2023-11-19,0,"Агент Наталия Толстых, CIAN ID 19853358",28,,-1
"Невельского пр-д, 1к3",,1,4,28,30.0,18000000,600000.0,2023-11-19,0,"Собственник, CIAN ID 100538119",26,Авиамоторная м.,15
"Горбунова ул., 19К1",,2,3,16,60.3,12850000,213101.0,2023-11-19,0,CIAN ID 53445148,35,Сетунь метро (МЦД-1),11
"Багрицкого ул., 45",,2,5,5,40.9,12000000,293399.0,2023-11-19,0,"Частный маклер Алла Иванова, CIAN ID 12715744",8,Кунцевская м.,14
"Скульптора Мухиной ул., 7",,2,7,14,51.9,12660000,243931.0,2023-11-19,0,CIAN ID 13209804,33,Новопеределкино м.,12
"Василия Ланового ул., 1к1",,2,8,40,63.5,24600000,387402.0,2023-11-19,0,"Агентство ГОРОДА, Агент Светлана Титова, CIAN ID 51864649",18,Аминьевская м.,7
"Троицк г., ЖК ""Легенда"", 7",,1,1,5,42.0,5700000,135714.0,2023-11-19,0,"Агентство RealtyHunt, Агент Надежда Истомина, CIAN ID 16781319",36,,-1
"Шмитовский пр-д, 39к8",,2,3,6,60.0,39900000,665000.0,2023-11-19,0,"Агентство Etagi Prime, Агент Весенкова Екатерина Александровна, CIAN ID 98058838",24,Тестовская м. (МЦД-4),4
"Дегунинская ул., 9к1",,1,11,22,35.5,13490000,380000.0,2023-11-19,0,"Агент Анна Ружникова, CIAN ID 109348610",18,Моссельмаш м. (МЦД-3),4
"Зеленоград г., 9-й мкр, К909",,1,3,16,37.8,8500000,224868.0,2023-11-19,0,"Агентство МИЭЛЬ, МИЭЛЬ офис Зеленоград, CIAN ID 91371019",62,Зеленоград м. (МЦД-3),10
"Широкая ул., 30",,2,6,19,38.4,15500000,403646.0,2023-11-19,0,"Собственник, CIAN ID 12528710",15,,-1
"Коммунарка пос., 107",,1,1,3,31.1,7600000,244373.0,2023-11-19,0,"Агентство Этажи Москва, Агент Полтавцева Оксана, CIAN ID 74212099",24,Коммунарка м.,7
"Невельского пр-д, 1к3",,1,20,28,38.0,19600000,515789.0,2023-11-19,0,"Агентство DOLGOV PRO, Агент Михаил Долгов, CIAN ID 16662637",33,Москва-Товарная метро (МЦД-2),14
"Генерала Дорохова просп., 39к1Б",,1,9,12,27.0,14950000,553704.0,2023-11-19,0,"Агент Елизавета Гулевская, CIAN ID 185179",89,,-1
"Десеновское поселение, Кварцевая ул., 3к1",,1,6,12,42.5,8200000,192941.0,2023-11-19,0,"Агентство Welcome 24, Агент Дамир Корнеев, CIAN ID 106613420",16,,-1
"Институтская 3-я ул., 17",,1,15,17,38.8,10800000,278351.0,2023-11-19,0,CIAN ID 353540,33,Окская м.,7
"Бескудниковский бул., 52к1",,2,14,22,58.0,16400000,282759.0,2023-11-19,0,"Частный маклер Сергей Осокин, CIAN ID 339700",45,Яхромская м.,8
"Дмитровское ш., 86",,2,16,25,52.8,15500000,293561.0,2023-11-19,0,"Агентство ЕСН, Агент Антон Воронов, CIAN ID 106435036",60,Селигерская м.,5
"Гарибальди ул., 4К5",,1,2,9,32.1,10800000,336449.0,2023-11-19,0,"Частный маклер Алексей Журавлев, CIAN ID 325218",6,,-1
"Внуковское поселение, Солнцево-Парк мкр, Летчика Ульянина ул., 6",,1,16,24,47.0,11500000,244681.0,2023-11-19,0,"Собственник, CIAN ID 106759120",8,Пыхтино м.,11
"Гурьянова ул., 6к1",,2,13,17,51.0,16000000,313725.0,2023-11-19,0,CIAN ID 388328,54,Печатники м.,5
"Генерала Антонова ул., 1",,2,9,9,46.0,15900000,345652.0,2023-11-19,0,"Агент Владислав Карпов, CIAN ID 52367590",24,Беляево м.,9
"Внуковское поселение, Переделкино Ближнее мкр, Бориса Пастернака ул., 27к1",,1,16,17,37.6,11200000,297872.0,2023-11-19,0,"Агент Олег Белов, CIAN ID 108776475",33,,-1
"Люблинская ул., 72к3",,1,3,25,35.3,10700000,303116.0,2023-11-19,0,"Агентство Ла Терра, Агент Елена Сидорович, CIAN ID 103526798",16,,-1
"Радиальная 6-я ул., 7/6к3",,1,3,18,37.1,9500000,256065.0,2023-11-19,0,"Агентство Владис, Агент Николай Захаров, CIAN ID 95580118",10,,-1
"Ломоносовский просп., 4К2",,2,1,8,53.0,16100000,303774.0,2023-11-19,0,"Частный маклер Юлиан Королев, CIAN ID 281165",65,,-1
"Волжский бульвар кв-л 114А, К6",,1,2,16,37.4,9500000,254011.0,2023-11-19,0,"Агентство ОКЕАН НЕДВИЖИМОСТИ, CIAN ID 97212237",6,Кузьминки м.,15
"Коровинское ш., 29К1",,1,11,12,35.0,10800000,308571.0,2023-11-19,0,"Агент Вадим Трофимов, CIAN ID 15221196",57,Грачевская м. (МЦД-3),15
"Петра Алексеева ул., 12к3",,2,14,28,44.0,16000000,363636.0,2023-11-19,0,"Агентство Этажи Москва, Агент Батршин Айнур Илькамович, CIAN ID 95687994",7,,-1
"Лухмановская ул., 22",,1,19,24,44.0,10500000,238636.0,2023-11-19,0,"Собственник, CIAN ID 258399",75,,-1
"Орехово-Зуевский пр-д, 14",,1,12,12,40.0,12000000,300000.0,2023-11-19,0,"Собственник, CIAN ID 72857844",28,Стахановская м.,5
"Восточный пос., 9 Мая ул., 18",,2,4,4,43.0,8500000,197674.0,2023-11-19,0,"Агентство Этажи Москва, Агент Арзуманян Альберт Давидович, CIAN ID 104508903",6,,-1
"Литовский бул., 3К2",,2,5,9,45.0,10250000,227778.0,2023-11-19,0,"Агент Дмитрий Костин, CIAN ID 13532278",6,,-1
"Остроумовская Малая ул., 1/10",,2,1,6,30.0,6250000,208333.0,2023-11-19,0,"Агентство ИНФИНИТИ, Агент Владислав Фатюхин, CIAN ID 109144515",10,Сокольники м.,13
"Римского-Корсакова ул., 11к2",,2,20,24,57.6,19500000,338542.0,2023-11-19,0,"Агентство Самолет Плюс МСК-Север, Агент Алексей Рябцев, CIAN ID 104382797",9,Бибирево м.,14
"Зеленоград г., 8-й мкр, к829",,2,2,12,59.2,14550000,245777.0,2023-11-19,0,CIAN ID 13083106,33,Зеленоград м. (МЦД-3),4
Воскресенское пос.,,2,1,9,84.6,16900000,199764.0,2023-11-19,0,"Агентство Century21 VICTORY, Агент Андрей Родин, CIAN ID 97814716",25,,-1
"Измайловский пр-д, 5/1к1",,2,3,15,58.4,18000000,308219.0,2023-11-19,0,"Собственник, CIAN ID 99827866",10,,-1
"Вернадского просп., 61К1",,2,7,19,49.3,18400000,373225.0,2023-11-19,0,"Агент Дарья Семенова, CIAN ID 373034",8,Проспект Вернадского м.,8
"Внуковское поселение, Солнцево-Парк мкр, Летчика Ульянина ул., 3А",,2,11,14,41.6,9200000,221154.0,2023-11-19,0,CIAN ID 195669,89,Пыхтино м.,4
"Орджоникидзе ул., 5К3",,2,2,4,53.7,17599999,327747.0,2023-11-19,0,"Агентство МИЭЛЬ Офис Пречистенка, Агент Андрей Козлов, CIAN ID 101154033",30,Ленинский проспект м.,13
"Астрадамская ул., 7",,2,7,14,52.0,18500000,355769.0,2023-11-19,0,"Агентство ЕГСН Продажа, Агент Черняева Елена, CIAN ID 89273173",186,Тимирязевская м.,12
"Доброслободская ул., 4",,2,8,12,38.6,14700000,380829.0,2023-11-19,0,"Агентство ИНФИНИТИ, Агент Елена Сергеева, CIAN ID 100769999",53,Бауманская м.,11
"Полбина ул., 14",,2,2,9,44.4,10150000,228604.0,2023-11-19,0,CIAN ID 3442,35,Люблино м.,7
"Ферганский пр-д, 3К3",,2,12,14,44.6,9100000,204036.0,2023-11-19,0,"Агентство Ваши Соседи, CIAN ID 10905270",5,Юго-Восточная м.,14
"Жемчуговой аллея, 5К2",,2,8,9,45.0,9800000,217778.0,2023-11-19,0,"Агент Светлана Федорова, CIAN ID 276753",11,,-1
"Кастанаевская ул., 60",,2,8,12,52.0,16500000,317308.0,2023-11-19,0,"Агентство ГОРОБМЕН, Агент НИКОЛАЙ МАТВЕЙЧУК, CIAN ID 69949691",260,Пионерская м.,9
"Юных Ленинцев ул., 99/1",,2,10,17,56.1,17100000,304813.0,2023-11-19,0,"Собственник, CIAN ID 12618706",8,,-1
"Тимирязевская ул., 8к2",,2,2,5,50.5,16990000,336436.0,2023-11-19,0,"Агентство ИНФИНИТИ, Агент Виталий Куренков, CIAN ID 108895188",9,Дмитровская м.,10
"Внуковское поселение, Андрея Тарковского бул., 7",,2,9,11,64.0,17700000,276562.0,2023-11-19,0,"Собственник, CIAN ID 98099924",10,,-1
"Ярославское ш., 22К3",,2,11,14,54.0,13620000,252222.0,2023-11-19,0,"Агентство Жилищная стратегия, CIAN ID 22936",24,,-1
"Московский поселение, Картмазовские Пруды ул., 2к1",,2,19,22,59.0,14000000,237288.0,2023-11-19,0,"Агентство Этажи Москва, Агент Налимов Никита Сергеевич, CIAN ID 79311484",18,,-1
"Малышева ул., 18К1",,2,4,9,38.2,9700000,253927.0,2023-11-19,0,"Частный маклер Алексей Карнелик, CIAN ID 107822069",26,Волжская м.,15
"Беловежская ул., 39К5",,2,19,22,58.8,16800000,285714.0,2023-11-19,0,"Агентство Этажи Москва, Агент Выборнова Марина Славиковна, CIAN ID 104466323",8,,-1
"Гостиничный пр-д, 8К1",,2,6,6,32.2,8800000,273292.0,2023-11-19,0,"Агентство Городские квартиры, Агент Вронская Татьяна, CIAN ID 101395076",23,Окружная м.,2
"Маленковская ул., 12",,2,5,12,47.0,18450000,392553.0,2023-11-19,0,"Агентство Самолет плюс - Сокольники, Агент Марина Кураева, CIAN ID 107366388",10,Сокольники м.,6
"Рогово пос., Березки ул., 10К1",,2,3,5,53.5,6599000,123346.0,2023-11-19,0,"Агентство Октябрьская, Агент Чингис Байронов, CIAN ID 107675347",65,,-1
"Новочеремушкинская ул., 52К2",,2,1,17,52.0,17000000,326923.0,2023-11-19,0,CIAN ID 283098,45,Новые Черемушки м.,7
"Грина ул., 18К2",,2,14,17,63.5,17990000,283307.0,2023-11-19,0,"Агентство RED, Агент Юлия Барамыкова, CIAN ID 40952487",18,Бульвар Дмитрия Донского м.,4
"Онежская ул., 39",,2,3,9,37.0,10500000,283784.0,2023-11-19,0,"Агентство ИНКОМ-Недвижимость, Офис ""Водный стадион"" Инком-Недвижимость, CIAN ID 24930426",37,Моссельмаш м. (МЦД-3),15
"Румянцево д., Инженера Кнорре ул., 7к5",,2,3,6,39.0,14690000,376667.0,2023-11-19,0,CIAN ID 350641,19,Румянцево м.,10
"Газгольдерная ул., 8",,2,10,32,64.0,17900000,279688.0,2023-11-19,0,CIAN ID 113093,24,Нижегородская м.,8
"Волгоградский просп., 32/5к1",,2,15,30,61.1,19000000,310966.0,2023-11-19,0,"Частный маклер Елена Кузнецова, CIAN ID 37207",89,Угрешская м. (МЦК),6
"Свободный просп., 14",,2,13,22,58.0,17700000,305172.0,2023-11-19,0,CIAN ID 58913627,95,Новогиреево м.,3
"Коровинское ш., 24К1",,2,7,9,41.8,10250000,245215.0,2023-11-19,0,"Собственник, CIAN ID 106310585",63,,-1
"Холмогорская ул., 6К1",,2,1,9,45.0,10500000,233333.0,2023-11-19,0,"Агентство Сити Недвижимость, Агент Рима Албегова, CIAN ID 44999621",20,,-1
"Красная Пресня ул., 23С1А",,3,7,12,76.0,36500000,480263.0,2023-11-19,0,"Агент Кристина Кузнецова, CIAN ID 109698385",6,Улица 1905 года м.,4
"Маршала Рокоссовского бул., 6к1",,2,7,30,65.7,21000000,319635.0,2023-11-19,0,"Агентство ИНКОМ-Недвижимость, Офис ""Проспект мира"" Инком-Недвижимость, CIAN ID 24930434",14,Бульвар Рокоссовского м.,7
"Осенняя ул., 18",,2,4,22,57.5,21500000,373913.0,2023-11-19,0,"Собственник, CIAN ID 101649999",4,Крылатское м.,12
"ЖК ""Светлый мир Станция Л""",,2,10,25,61.2,14910808,243641.0,2023-11-19,0,"Представитель застройщика Seven Suns Development, CIAN ID 106096534",6,,-1
"Лихачёва просп., 18к6",,2,10,17,50.0,23000000,460000.0,2023-11-19,0,"Агентство EstateLiga, Агент Кристина Василенко, CIAN ID 100573290",21,Технопарк м.,14
"Радиальная 6-я ул., 7/6к3",,2,13,18,62.0,14150000,228226.0,2023-11-19,0,"Агентство EstateLiga, Агент Александр Овсянников, CIAN ID 100791643",23,,-1
"Саранская ул., 8",,2,7,14,54.0,13700000,253704.0,2023-11-19,0,"Агент Гульнара Абдуллина, CIAN ID 258459",18,Жулебино м.,10
"ЖК ""Level Донской (Левел Донской)""",,3,21,30,55.5,18000000,324324.0,2023-11-19,0,"Агентство Азбука Жилья, Агент Вадим Масёров, CIAN ID 13658880",27,Селигерская м.,11
"Внуковское поселение, Солнцево-Парк мкр, Летчика Ульянина ул., 2",,2,10,18,61.0,13750000,225410.0,2023-11-19,0,CIAN ID 4572,32,Пыхтино м.,6
"Защитников Москвы просп., 15",,2,16,17,51.0,13400000,262745.0,2023-11-19,0,"Агентство Этажи Москва, Агент Тимаев Олег Рашидович, CIAN ID 77863620",18,Некрасовка м.,2
"Сосенское поселение, Веласкеса бул., 5к2",,2,5,9,53.0,14800000,279245.0,2023-11-19,0,"Агентство Октябрьская, Агент Екатерина Шелег, CIAN ID 104364771",65,,-1
"Генерала Глаголева ул., 16К2С2",,2,9,46,50.3,20500000,407555.0,2023-11-19,0,"Агентство На Петровке, Агент Кристина Танасейчук, CIAN ID 109760454",58,,-1
"Василия Ланового ул., 1к1",,2,7,41,64.8,24100000,371914.0,2023-11-19,0,CIAN ID 216399,14,Аминьевская м.,7
"Цимлянская ул., 3к1",,3,15,17,57.0,20700000,363158.0,2023-11-19,0,"Собственник, CIAN ID 80453874",6,,-1
"Михалковская ул., 48К2",,1,18,18,36.2,13500000,372928.0,2023-11-19,0,"Агентство Евгений Яшенков и Партнеры, CIAN ID 13082752",25,Коптево м. (МЦК),8
"Крузенштерна ул., 10к1",,2,18,27,57.0,22500000,394737.0,2023-11-19,0,"Собственник, CIAN ID 104895509",19,Авиамоторная м.,11
"Пресненская наб., 8С1",,2,27,75,47.0,35000000,744681.0,2023-11-19,0,"Частный маклер Елена Кудрина, CIAN ID 15142823",13,Деловой центр м.,2
"Коломенская ул., 27к1",,1,8,12,39.8,13100000,329146.0,2023-11-19,0,"Агентство ИНФИНИТИ, Агент Елена Никонова, CIAN ID 101227973",33,Кленовый бульвар м.,9
"Коммунарка пос., Эдальго мкр, 2",,2,9,17,49.0,13750000,280612.0,2023-11-19,0,"Агент Лариса Маслова, CIAN ID 109698639",6,,-1
"Коломенская наб., 12",,1,10,17,39.0,15000000,384615.0,2023-11-19,0,"Частный маклер Людмила Ващенко, CIAN ID 285295",34,Нагатинский Затон м.,9
"Фрунзенская наб., 38/1",,2,6,9,53.1,35000000,659134.0,2023-11-19,0,"Агентство Дискавэри Бизнес Групп, CIAN ID 16591",22,Фрунзенская м.,13
"Островитянова ул., 5",,2,9,16,71.0,23900000,336620.0,2023-11-19,0,CIAN ID 1285738,33,,-1
"Рязанский просп., 2/1к2Б",,2,8,25,57.0,21000000,368421.0,2023-11-19,0,CIAN ID 1581910,53,Нижегородская м.,8
"Каховка ул., 23к5",,1,13,19,40.9,14600000,356968.0,2023-11-19,0,"Частный маклер Наталья Кондратенкова, CIAN ID 20359",35,Зюзино м.,5
"ЖК ""Стеллар Сити""",,2,1,12,39.1,9178725,234750.0,2023-11-19,0,"Консультант Циан, CIAN ID 52395145",6,,-1
