addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url
"нововладыкинский пр-д, 1к3","г. москва, проезд. нововладыкинский, д. 1, к. 3",3,18,22.0,76.3,26500000,347313.0,2023-11-08,0,"Агентство ГОРОДА, Агент Эльвина Мустафаева, CIAN ID 107677748",11,Северо-Восточный,Отрадное,"г. москва, проезд. нововладыкинский, д. 1, к. 3",22.0,1.0,55.85063,37.57675,Железобетонные,Монолитный,Бетонные Монолитные,Нет данных,-1.0,2018.0,-1.0,2.0,Исправный,Окружная,0.5,8.0,77:02:0007003:4466,7.7000000000202e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=328117
"лобанова ул., 4","г. москва, ул. лобанова, д. 4",3,4,5.0,80.0,26500000,331250.0,2023-11-08,0,"Агентство Самолет Плюс Москва, Агент Татьяна Белякова, CIAN ID 104152644",15,Южный,Даниловский,"г. москва, ул. лобанова, д. 4",5.0,0.0,55.70163,37.65889,железобетонные,Кирпичный,Кирпичные,муниципальный,146.0,1957.0,300.0,-1.0,Исправный,Автозаводская,0.65,10.0,77:05:0002005:1048,7.70000000001722e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=14861
"садовническая наб., 7","г. москва, наб. садовническая, д. 7",3,5,6.0,160.0,220000000,1375000.0,2023-11-08,0,"Агентство Verges of estate, Агент Сергей Бурт, CIAN ID 73098001",6,Центральный,Замоскворечье,"г. москва, наб. садовническая, д. 7",6.0,0.0,55.74688,37.62787,Нет данных,Монолитный,Железобетонные Монолитные,Нет данных,-1.0,2017.0,-1.0,-1.0,Нет данных,Новокузнецкая,0.55,8.0,77:01:0002022:3437,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=308481
"хорошевская 3-я ул., 17а","г. москва, ул. хорошевская 3-я, к. 19, стр. 1",3,7,21.0,73.2,29662470,405225.0,2023-11-08,0,"Консультант Циан, CIAN ID 52395145",7,Северо-Западный,Хорошево-Мневники,"г. москва, ул. хорошевская 3-я, к. 19, стр. 1",20.0,1.0,55.78468,37.49355,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Зорге,0.9,14.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=355511
"академика варги ул., 24","г. москва, ул. академика варги, д. 24",3,5,12.0,64.3,16000000,248834.0,2023-11-08,0,"Агентство Владис, Агент Елена Егорова, CIAN ID 70426487",42,Юго-Западный,Теплый Стан,"г. москва, ул. академика варги, д. 24",12.0,0.0,55.63423,37.47243,Нет данных,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,-1.0,1974.0,264.0,2.0,Нет данных,Тропарево,1.3,20.0,77:06:0007007:1010,7.70000000000931e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=9263
"муравская ул., 38к1","г. москва, ул. муравская, д. 38, к. 1",3,14,26.0,70.0,16500000,235714.0,2023-11-08,0,"Частный маклер Ирина Пшеничникова, CIAN ID 65954729",78,Северо-Западный,Митино,"г. москва, ул. муравская, д. 38, к. 1",25.0,1.0,55.86459,37.37253,Железобетонные,Панельный,Нет данных,Нет данных,-1.0,2019.0,-1.0,2.0,Исправный,Пятницкое шоссе,1.55,23.0,77:08:0000000:4687,7.70000000004181e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=327370
"хорошевская 3-я ул., 17а","г. москва, ул. хорошевская 3-я, к. 19, стр. 1",3,13,21.0,86.8,32162004,370530.0,2023-11-08,0,"Консультант Циан, CIAN ID 52395145",7,Северо-Западный,Хорошево-Мневники,"г. москва, ул. хорошевская 3-я, к. 19, стр. 1",20.0,1.0,55.78468,37.49355,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Зорге,0.9,14.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=355511
"хорошевская 3-я ул., 17а","г. москва, ул. хорошевская 3-я, к. 19, стр. 1",3,3,21.0,89.0,31903830,358470.0,2023-11-08,0,"Консультант Циан, CIAN ID 52395145",7,Северо-Западный,Хорошево-Мневники,"г. москва, ул. хорошевская 3-я, к. 19, стр. 1",20.0,1.0,55.78468,37.49355,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Зорге,0.9,14.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=355511
"вернадского просп., 38а","г. москва, пр-кт. вернадского, д. 38а",3,4,16.0,80.0,25500000,318750.0,2023-11-08,0,"Агентство Century 21 Level, Агент Никита Дьяченко, CIAN ID 44393907",49,Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 38а",16.0,0.0,55.6739,37.49934,железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,113.0,1969.0,260.0,1.0,Исправный,Проспект Вернадского,0.55,9.0,77:07:0013006:1064,7.70000000000953e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=70059
"тагильская ул., 4к1","г. москва, ул. тагильская, д. 4, к. 1",3,19,25.0,59.0,18726600,317400.0,2023-11-08,0,"Представитель застройщика AFI Development, CIAN ID 27344089",7,Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 1",-1.0,0.0,55.8182,37.74901,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,Нет данных,-1.0,-1.0,Нет данных,Бульвар Рокоссовского,1.0,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=379306
"тагильская ул., 4к1","г. москва, ул. тагильская, д. 4, к. 1",3,13,25.0,73.1,20511860,280600.0,2023-11-08,0,"Представитель застройщика AFI Development, CIAN ID 27344089",7,Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 1",-1.0,0.0,55.8182,37.74901,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,Нет данных,-1.0,-1.0,Нет данных,Бульвар Рокоссовского,1.0,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=379306
"тагильская ул., 4к1","г. москва, ул. тагильская, д. 4, к. 1",3,12,12.0,58.6,17494444,298540.0,2023-11-08,0,"Представитель застройщика AFI Development, CIAN ID 27344089",7,Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 1",-1.0,0.0,55.8182,37.74901,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,Нет данных,-1.0,-1.0,Нет данных,Бульвар Рокоссовского,1.0,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=379306
"усачева ул., 15а","г. москва, ул. усачева, д. 15а",3,5,14.0,91.0,97950000,1076374.0,2023-11-08,0,"Агентство Гарант, Агент Олеся Иванова, CIAN ID 106183868",44,Центральный,Хамовники,"г. москва, ул. усачева, д. 15а",14.0,1.0,55.72599,37.57059,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Спортивная,0.55,9.0,77:01:0005010:8039,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=351989
"пудовкина ул., 3","г. москва, ул. пудовкина, д. 3",3,3,9.0,89.0,30000000,337079.0,2023-11-08,0,"Агентство Простор-недвижимость, Агент Анна Чешигина, CIAN ID 107966771",14,Западный,Раменки,"г. москва, ул. пудовкина, д. 3",9.0,0.0,55.72691,37.53107,железобетонные,Кирпичный,Кирпичные,муниципальный,365.0,1961.0,285.0,1.0,Исправный,Поклонная,1.35,20.0,77:07:0006004:1022,7.7000000000241e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=19865
"пудовкина ул., 3","г. москва, ул. пудовкина, д. 3",3,3,9.0,90.0,30000000,333333.0,2023-11-08,0,"Агентство Isaev Estate, Агент Елена Антимоний, CIAN ID 82028361",26,Западный,Раменки,"г. москва, ул. пудовкина, д. 3",9.0,0.0,55.72691,37.53107,железобетонные,Кирпичный,Кирпичные,муниципальный,365.0,1961.0,285.0,1.0,Исправный,Поклонная,1.35,20.0,77:07:0006004:1022,7.7000000000241e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=19865
"софийская наб., 34с4","г. москва, наб. софийская, д. 34, стр. 4",3,2,8.0,141.5,95000000,671378.0,2023-11-08,0,"Агентство NF Group - ex-Knight Frank Russia, CIAN ID 322500",275,Центральный,Якиманка,"г. москва, наб. софийская, д. 34, стр. 4",8.0,0.0,55.74752,37.62268,Нет данных,Монолитный,Кирпичные,федеральный,-1.0,2019.0,-1.0,-1.0,Нет данных,Новокузнецкая,0.7,11.0,77:01:0002021:1052,7.70000000007164e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=183810
"новоясеневский просп., 9","г. москва, пр-кт. новоясеневский, д. 9",3,20,23.0,114.6,62000000,541012.0,2023-11-08,0,"Собственник, CIAN ID 108586677",9,Юго-Западный,Ясенево,"г. москва, пр-кт. новоясеневский, д. 9",23.0,1.0,55.608880000000006,37.53524,Железобетонные,Монолитный,Железобетонные Монолитные,Нет данных,-1.0,2014.0,-1.0,5.0,Исправный,Ясенево,0.4,6.0,77:06:0008011:4177,7.70000000002073e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=179434
"усачева ул., 15а","г. москва, ул. усачева, д. 15а",3,3,14.0,118.7,115732500,975000.0,2023-11-08,0,"Агентство Аврора Проперти, CIAN ID 13460140",281,Центральный,Хамовники,"г. москва, ул. усачева, д. 15а",14.0,1.0,55.72599,37.57059,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2022.0,-1.0,-1.0,Нет данных,Спортивная,0.55,9.0,77:01:0005010:8039,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=351989
"самаркандский бул., 10к2","г. москва, б-р. самаркандский, д. 10, к. 2",3,2,9.0,49.9,11300000,226453.0,2023-11-08,0,"Собственник, CIAN ID 104305098",52,Юго-Восточный,Выхино-Жулебино,"г. москва, б-р. самаркандский, д. 10, к. 2",9.0,0.0,55.70668000000001,37.82611,железобетонные,Панельный,Крупнопанельные,муниципальный,647.0,1969.0,264.0,1.0,Исправный,Юго-Восточная,0.6,9.0,77:04:0002010:1022,7.70000000000064e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=25124
"головачева ул., 3к3","г. москва, ул. головачева, д. 3, к. 3",3,2,12.0,61.8,11200000,181230.0,2023-11-08,0,"Частный маклер Ольга Троицкая, CIAN ID 15830",28,Юго-Восточный,Люблино,"г. москва, ул. головачева, д. 3, к. 3",12.0,0.0,55.67601,37.80533,Железобетонные,Блочный,Крупноблочные,Нет данных,532.0,1975.0,248.0,1.0,Исправный,Люблино,2.8,42.0,77:04:0004006:1048,7.70000000000063e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=15894
"годовикова ул., 11к5","г. москва, ул. годовикова, д. 11, к. 5",3,4,37.0,100.7,39482240,392078.0,2023-11-08,0,"Застройщик КОРТРОС, CIAN ID 88014230",7,Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 11, к. 5",32.0,1.0,55.81059000000001,37.62438,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Алексеевская,0.95,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=368940
"сиреневый бул., 3к5","г. москва, б-р. сиреневый, д. 3, к. 5",3,7,9.0,59.0,12800000,216949.0,2023-11-08,0,"Собственник, CIAN ID 47257506",63,Восточный,Измайлово Северное,"г. москва, б-р. сиреневый, д. 3, к. 5",9.0,0.0,55.80392,37.76983,железобетонные,Панельный,Крупнопанельные,муниципальный,323.0,1967.0,264.0,1.0,Исправный,Локомотив,1.6,24.0,77:03:0005002:1048,7.70000000002657e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=47230
"мосфильмовская ул., 88к2с4","г. москва, ул. мосфильмовская, д. 88, к. 2, стр. 4",3,19,21.0,110.0,63000000,572727.0,2023-11-08,0,"Агентство Kalinka Group, CIAN ID 22325545",377,Западный,Раменки,"г. москва, ул. мосфильмовская, д. 88, к. 2, стр. 4",21.0,0.0,55.70404,37.49308,Иные,Монолитный,Бетонные Монолитные,Нет данных,-1.0,2014.0,-1.0,2.0,Исправный,Матвеевская,0.8,12.0,77:07:0013003:15485,7.70000000001909e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=265426
"снайперская ул., 10к1","г. москва, ул. снайперская, д. 10, к. 1",3,9,9.0,58.0,11400000,196552.0,2023-11-08,0,"Агентство CENTURY 21, Агент Ирина Ратникова, CIAN ID 107045905",16,Восточный,Вешняки,"г. москва, ул. снайперская, д. 10, к. 1",9.0,0.0,55.72215,37.81055,железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,459.0,1970.0,264.0,1.0,Исправный,Выхино,0.85,13.0,77:03:0007003:1090,7.70000000000445e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=24837
"адмирала макарова ул., 39","г. москва, ул. адмирала макарова, д. 39",3,3,5.0,97.0,30500000,314433.0,2023-11-08,0,"Агентство Владис, Агент Дмитрий Бондин, CIAN ID 102586471",182,Северный,Войковский,"г. москва, ул. адмирала макарова, д. 39",5.0,0.0,55.83735,37.48686,Железобетонные,Кирпичный,Кирпичные,муниципальный,211.0,1958.0,280.0,-1.0,Исправный,Водный Стадион,0.3,5.0,77:09:0001021:1012,7.70000000001777e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=50585
"профсоюзная ул., 152к3","г. москва, ул. профсоюзная, д. 152, к. 3",3,1,9.0,51.6,11900000,230620.0,2023-11-08,0,"Агентство ВСЁ ПРОСТО, Агент Кирилл Гапов, CIAN ID 58327165",19,Юго-Западный,Теплый Стан,"г. москва, ул. профсоюзная, д. 152, к. 3",9.0,0.0,55.623219999999996,37.50527,железобетонные,Панельный,Крупнопанельные,муниципальный,751.0,1972.0,264.0,1.0,Исправный,Теплый Стан,0.5,8.0,77:06:0007003:1049,7.70000000002392e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=5106
"пречистенская наб., 5","г. москва, наб. пречистенская, д. 5",3,2,5.0,219.0,570491233,2604983.0,2023-11-08,0,"Агентство FS PROPERTY, Агент FSP Запад, CIAN ID 75018295",17,Центральный,Хамовники,"г. москва, наб. пречистенская, д. 5",4.0,0.0,55.73644,37.60038,Иные,Монолитный,Кирпичные,Нет данных,-1.0,2015.0,-1.0,1.0,Исправный,Парк Культуры,0.4,6.0,77:01:0001053:3271,7.70000000007172e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=257463
"энтузиастов ш., 98к1","г. москва, ш. энтузиастов, д. 98, к. 1",3,6,9.0,60.6,12500000,206271.0,2023-11-08,0,CIAN ID 58286,33,Восточный,Ивановское,"г. москва, ш. энтузиастов, д. 98, к. 1",9.0,0.0,55.77324,37.83232,Железобетонные,Панельный,Крупнопанельные,муниципальный,531.0,1972.0,264.0,1.0,Исправный,Новогиреево,3.0,45.0,77:03:0006025:1069,7.7000000000033e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=37489
"наметкина ул., 10д","г. москва, ул. наметкина, д. 10д",3,19,30.0,73.2,20038500,273750.0,2023-11-08,0,"Застройщик МонАрх, CIAN ID 98437709",7,Юго-Западный,Черемушки,"г. москва, ул. наметкина, д. 10д",24.0,0.0,55.66014000000001,37.55138,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Воронцовская,0.8,12.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385790
"красных зорь ул., 33а","г. москва, ул. красных зорь, д. 33а",3,10,17.0,58.5,20700000,353846.0,2023-11-08,0,"Агентство SRG, Агент Татьяна SRG, CIAN ID 105968099",27,Западный,Можайский,"г. москва, ул. красных зорь, д. 33а",15.0,0.0,55.723180000000006,37.4324,Нет данных,Монолит-Кирпич,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Исправный,Рабочий Посёлок,1.05,16.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=18610
"грайвороновский 2-й пр-д, 42к4","г. москва, проезд. грайвороновский 2-й, д. 42, к. 4",3,2,24.0,80.0,28500000,356250.0,2023-11-08,0,"Агентство ГОРОБМЕН, Агент АНАСТАСИЯ СЕВАСТОПОЛЕВА, CIAN ID 75859709",69,Юго-Восточный,Рязанский,"г. москва, проезд. грайвороновский 2-й, д. 42, к. 4",24.0,0.0,55.724869999999996,37.7449,Железобетонные,Монолитный,Железобетонные,Нет данных,-1.0,2018.0,270.0,3.0,Исправный,Стахановская,0.6,9.0,77:04:0002006:18581,7.7000000000004e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=331321
"мытная ул., 7с1","г. москва, ул. мытная, д. 7, стр. 1",3,13,14.0,107.0,66600000,622430.0,2023-11-08,0,"Агентство Простор-недвижимость, Агент Виктор Валеев, CIAN ID 88174917",86,Центральный,Замоскворечье,"г. москва, ул. мытная, д. 7, стр. 1",14.0,0.0,55.721869999999996,37.61877,Нет данных,Монолитный,Бетонные Монолитные,Нет данных,-1.0,2013.0,-1.0,1.0,Исправный,Серпуховская,0.7,11.0,77:01:0006010:2065,7.70000000001928e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=21704
"радиальная 6-я ул., 3к3","г. москва, ул. радиальная 6-я, д. 3, к. 3",3,8,14.0,93.0,21700000,233333.0,2023-11-08,0,"Частный маклер Игорь Вантеев, CIAN ID 85787",26,Южный,Бирюлево Восточное,"г. москва, ул. радиальная 6-я, д. 3, к. 3",11.0,0.0,55.60626,37.66302,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2019.0,-1.0,2.0,Исправный,Царицыно,1.55,24.0,77:05:0000000:3625,7.70000000003801e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=246434
"подольских курсантов ул., 12к1","г. москва, ул. подольских курсантов, д. 12, к. 1",3,5,9.0,58.6,11900000,203072.0,2023-11-08,0,"Агентство ТАНДЕМ, Агент лариса Присветлая, CIAN ID 86550770",14,Южный,Чертаново Южное,"г. москва, ул. подольских курсантов, д. 12, к. 1",9.0,0.0,55.6073,37.61704,железобетонные,Панельный,Крупнопанельные,муниципальный,1456.0,1973.0,264.0,1.0,Исправный,Пражская,1.0,15.0,77:05:0008001:1030,7.70000000002315e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=5733
"молдагуловой ул., 18к2","г. москва, ул. молдагуловой, д. 18, к. 2",3,1,9.0,58.5,12499000,213658.0,2023-11-08,0,"Собственник, CIAN ID 107554961",37,Восточный,Вешняки,"г. москва, ул. молдагуловой, д. 18, к. 2",9.0,0.0,55.7221,37.81917,железобетонные,Панельный,Крупнопанельные,муниципальный,754.0,1971.0,264.0,1.0,Исправный,Выхино,0.7,11.0,77:03:0007003:1047,7.70000000000416e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=24875
"открытое ш., 17к7","г. москва, ш. открытое, д. 17, к. 7",3,4,5.0,59.0,13000000,220339.0,2023-11-08,0,"Частный маклер Тимур Сарвари, CIAN ID 271207",73,Восточный,Метрогородок,"г. москва, ш. открытое, д. 17, к. 7",5.0,0.0,55.823159999999994,37.75307,железобетонные,Панельный,Крупнопанельные,муниципальный,286.0,1963.0,248.0,-1.0,Исправный,Бульвар Рокоссовского,1.55,23.0,77:03:0002003:1075,7.70000000002167e+16,Нет данных,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=53281
"крылатские холмы ул., 26к3","г. москва, ул. крылатские холмы, д. 26, к. 3",3,8,22.0,70.0,25400000,362857.0,2023-11-08,0,"Агентство МИЭЛЬ, МИЭЛЬ Офис Сущевский Отдел продаж 2, CIAN ID 92218467",35,Западный,Крылатское,"г. москва, ул. крылатские холмы, д. 26, к. 3",22.0,0.0,55.76418,37.4179,железобетонные,Панельный,Крупнопанельные,муниципальный,727.0,1988.0,264.0,2.0,Исправный,Крылатское,1.05,16.0,77:07:0001002:1097,7.70000000001629e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=71797
"ватутина ул., 4к2","г. москва, ул. ватутина, д. 4, к. 2",3,1,5.0,71.4,13990000,195938.0,2023-11-08,0,"Агентство ГОРОБМЕН, Агент ДАРЬЯ СЕНОТТО, CIAN ID 104222350",5,Западный,Фили-Давыдково,"г. москва, ул. ватутина, д. 4, к. 2",5.0,0.0,55.72295,37.4585,Железобетонные,Кирпичный,Кирпичные,муниципальный,119.0,1961.0,265.0,-1.0,Исправный,Кунцевская,0.95,15.0,77:07:0009003:1100,7.7000000000094e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=18969
"тараса шевченко наб., 3","г. москва, наб. тараса шевченко, д. 3",3,2,9.0,80.0,40000000,500000.0,2023-11-08,0,"Агентство МИЭЛЬ, МИЭЛЬ офис на Соколе, CIAN ID 17168306",65,Западный,Дорогомилово,"г. москва, наб. тараса шевченко, д. 3",8.0,0.0,55.74889,37.5718,Железобетонные,Кирпичный,Кирпичные,муниципальный,407.0,1957.0,300.0,1.0,Исправный,Киевская,0.7,10.0,77:07:0007003:1011,7.70000000003498e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=28110
"красногвардейский 1-й пр-д, 15","г. москва, проезд. красногвардейский 1-й, д. 15",3,50,75.0,122.4,150000000,1225490.0,2023-11-08,0,"Агент Елена Свириденко, CIAN ID 10234486",42,Центральный,Пресненский,"г. москва, проезд. красногвардейский 1-й, д. 15",75.0,0.0,55.750640000000004,37.5392,Нет данных,Монолитный,Бетонные Монолитные,Нет данных,-1.0,2013.0,-1.0,-1.0,Нет данных,Выставочная,0.3,5.0,77:00:0000000:16207,7.7000000000158e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=294556
"молостовых ул., 15к3","г. москва, ул. молостовых, д. 15, к. 3",3,1,9.0,58.0,12750000,219828.0,2023-11-08,0,"Агентство Монолит Столица, Агент Анжелика Мячина, CIAN ID 88902340",65,Восточный,Ивановское,"г. москва, ул. молостовых, д. 15, к. 3",9.0,0.0,55.753930000000004,37.83419,Железобетонные,Панельный,Крупнопанельные,муниципальный,365.0,1970.0,264.0,1.0,Исправный,Новогиреево,1.3,19.0,77:03:0006023:1026,7.70000000000417e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=37160
"мосфильмовская ул., 88к2с5","г. москва, ул. мосфильмовская, д. 88, к. 2, стр. 5",3,9,21.0,80.0,56000000,700000.0,2023-11-08,0,"Агентство Top Brokers Community, CIAN ID 48077167",99,Западный,Раменки,"г. москва, ул. мосфильмовская, д. 88, к. 2, стр. 5",21.0,0.0,55.7051,37.49207,Нет данных,Монолитный,Бетонные Монолитные,Нет данных,-1.0,2014.0,-1.0,-1.0,Нет данных,Матвеевская,0.7,10.0,77:07:0013003:15485,7.70000000001909e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=231975
"медынская ул., 5к5","г. москва, ул. медынская, д. 5, к. 5",3,8,12.0,63.1,12800000,202853.0,2023-11-08,0,"Агентство Качанова и партнеры, Агент Ольга Щербинко, CIAN ID 31016",44,Южный,Бирюлево Западное,"г. москва, ул. медынская, д. 5, к. 5",12.0,0.0,55.589980000000004,37.64999,железобетонные,Панельный,Крупнопанельные,муниципальный,560.0,1973.0,264.0,2.0,Исправный,Покровская,1.85,28.0,77:05:0009002:1047,7.70000000001832e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=3203
"новикова-прибоя наб., 6б","г. москва, наб. новикова-прибоя, д. 6б",3,13,23.0,67.7,24500000,361891.0,2023-11-08,0,"Агентство ИП Шевцова С. В., Агент Светлана Шевцова, CIAN ID 3942364",26,Северо-Западный,Хорошево-Мневники,"г. москва, наб. новикова-прибоя, д. 6б",23.0,0.0,55.78255,37.45124000000001,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,266.0,-1.0,Нет данных,Народное Ополчение,2.3,35.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=354974
"ленинский просп., 72/2","г. москва, пр-кт. ленинский, д. 72/2",3,7,10.0,73.0,30000000,410959.0,2023-11-08,0,CIAN ID 260935,37,Юго-Западный,Гагаринский,"г. москва, пр-кт. ленинский, д. 72/2",10.0,0.0,55.685990000000004,37.541090000000004,железобетонные,Кирпичный,Кирпичные,муниципальный,1647.0,1955.0,300.0,2.0,Исправный,Университет,0.85,13.0,77:06:0001004:1006,7.70000000001689e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=71075
"наметкина ул., 10д","г. москва, ул. наметкина, д. 10д",3,23,30.0,73.6,19393600,263500.0,2023-11-08,0,"Застройщик МонАрх, CIAN ID 98437709",7,Юго-Западный,Черемушки,"г. москва, ул. наметкина, д. 10д",24.0,0.0,55.66014000000001,37.55138,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Воронцовская,0.8,12.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385790
"тагильская ул., 4к2","г. москва, ул. тагильская, д. 4, к. 2",3,15,25.0,59.6,18450968,309580.0,2023-11-08,0,"Застройщик AFI Development, CIAN ID 27344089",7,Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 2",25.0,0.0,55.81879,37.75003,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Бульвар Рокоссовского,1.1,17.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=379307
"годовикова ул., 11к5","г. москва, ул. годовикова, д. 11, к. 5",3,3,37.0,85.2,41170920,483227.0,2023-11-08,0,"Застройщик КОРТРОС, CIAN ID 88014230",7,Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 11, к. 5",32.0,1.0,55.81059000000001,37.62438,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Алексеевская,0.95,15.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=368940
